Number,Title,Ingredients,Instructions,Image_Name,Cleaned_Ingredients
44,Old-Fashioned Scalloped Potatoes,"['2 cups thinly sliced onion', '9 tablespoons unsalted butter', '6 tablespoons all-purpose flour', '3 1/2 cups milk', '2 1/2 pounds boiling potatoes', '1 1/2 cups coarsely grated sharp Cheddar (about 6 ounces)', '1/3 cup dry bread crumbs']","Preheat oven to 400Â°. In a skillet, cook the onion and 2 tablespoons of the butter over moderately low heat, stirring, until it is very soft. In a heavy saucepan, melt 6 tablespoons of the remaining butter over moderately low heat, whisk in the flour, and cook the roux, whisking, for 3 minutes. Add the milk, scalded, in a stream, whisking, and bring the sauce to a boil. Simmer the sauce, whisking, for 1 minute and add salt and pepper to taste.
Peel the potatoes and slice them â…›-inch thick. Spread about one third of the sauce in the bottom of a well-buttered 3-quart gratin dish at least 2 Â½-inches deep, cover it with a layer of potato slices, overlapping the slices slightly, and cover the potatoes with one third of the onions. Sprinkle the onions with one third of the Cheddar and continue to layer the remaining sauce, potatoes, onions, and Cheddar in the same manner. Sprinkle the top with bread crumbs, and dot it with the remaining 1 tablespoon butter, cut into bits.
Bake the mixture, covered with foil, in the middle of preheated oven for 20 minutes. Remove the foil and bake the potato mixture for 35 minutes more, or until the top is golden and the potatoes are tender.",old-fashioned-scalloped-potatoes-10270,"['2 cups thinly sliced onion', '9 tablespoons unsalted butter', '6 tablespoons all-purpose flour', '3 1/2 cups milk', '2 1/2 pounds boiling potatoes', '1 1/2 cups coarsely grated sharp Cheddar (about 6 ounces)', '1/3 cup dry bread crumbs']"
45,Yogurt and Spice Roasted Salmon,"['500g skinless salmon fillet, cut into 4cm cubes', '4 tablespoons Greek yogurt', '1 tablespoon garlic granules', '1 heaped tablespoon rose harissa', '1 teaspoon ground turmeric', '1 teaspoon paprika', 'Finely grated zest of 1 unwaxed lime and a good squeeze of juice', '1 teaspoon olive oil', 'Generous amount of Maldon sea salt flakes and freshly ground black pepper', 'Tortilla wraps', 'Sliced tomatoes', 'Finely sliced onion', 'Coriander leaves', 'Greek yogurt']","Preheat your oven to its highest setting (with fan if it has one). Line a baking tray with baking paper.
Mix all the marinade ingredients together in a mixing bowl. Add the salmon and turn until well coated in the marinade.
Spread the salmon out on the prepared baking tray and roast for 10 minutes until cooked through. Remove from the oven and serve immediately with tortilla wraps, tomatoes, finely sliced onion, coriander leaves and Greek yogurt.",easy-yogurt-and-spice-roasted-salmon-sabrina-ghayour,"['500g skinless salmon fillet, cut into 4cm cubes', '4 tablespoons Greek yogurt', '1 tablespoon garlic granules', '1 heaped tablespoon rose harissa', '1 teaspoon ground turmeric', '1 teaspoon paprika', 'Finely grated zest of 1 unwaxed lime and a good squeeze of juice', '1 teaspoon olive oil', 'Generous amount of Maldon sea salt flakes and freshly ground black pepper', 'Tortilla wraps', 'Sliced tomatoes', 'Finely sliced onion', 'Coriander leaves', 'Greek yogurt']"
46,Pita,"['1Â½ cups warm water', '1 teaspoon instant yeast', '4Â½ cups (540 grams) bread flour, divided, plus more as needed', '2 tablespoons canola oil, plus more for your bowl', '3Â½ teaspoons Morton kosher salt']","Combine the water and yeast in a large mixing bowl (if you have a stand mixer, use that bowl) and let sit for 5 minutes.
Reserve Â½ cup (60 grams) bread flour and add the remaining 4 cups to the mixing bowl along with the canola oil.
If you have a stand mixer, fit it with the dough hook and knead the mixture on low speed for about 3 minutes, until a sticky but cohesive dough starts to form. Pause occasionally to scrape down the bowl if the flour is clinging to the sides and bottom or climbing up the hook. If youâ€™re making the dough without a stand mixer, mix it with a wooden spoon. In either case, loosely cover the bowl with plastic wrap or a dish towel and let rest for 30 minutes.
With your stand mixer on low or while stirring by hand in the mixing bowl, add the salt and, over the course of 2 or 3 minutes, add the remaining Â½ cup flour, 2 tablespoons at a time. The dough should be more tense; it will feel soft but tacky, although it will pull from the sides of the bowl.
Flour your hands generously and use them to pull the dough onto a clean, unfloured work surface. Cup your hands around the dough, rolling it in short, circular strokes and using the sides of your hands to nudge it into a relatively smooth ball.
Lightly wipe the inside of a large bowl with canola oil and place the dough inside, flipping it once or twice to coat. Loosely cover the bowl and let the dough rise at a warm room temperature for 1 hour.
After 1 hour, the dough will be stretchy but very soft. Leaving it inside the bowl, stretch opposite sides of the dough over the center. Rotate the bowl a quarter- turn and stretch the dough in the same way, then flip the whole mound of dough upside down and cover again. Let rise for 1 hour.
Repeat this series of folds one more time, allow it to rise at room temperature for 1 hour, then tightly cover the bowl and refrigerate overnight or up to 2 days. The longer the dough is refrigerated, the more flavor it will have. After this rise, itâ€™s ready to be shaped; bear in mind that, once itâ€™s shaped, it will need more time for a final rise, so plan ahead.
Wipe a bit of canola oil on a large baking sheet. Dump the dough onto a clean, dry counter, and use a bench scraper or sharp knife to cut it into eight equal pieces; make clean, decisive cuts rather than use a sawing motion, so you donâ€™t deflate all the air inside.
Lightly flour your hands and place one palm directly over the dough ball, with all your fingertips touching the counter to make a sort of â€œcageâ€ around the dough. Roll it in brisk, small circles on the countertop so it tightens itself into a smoother, more taut ball.
Space the rounds of dough a few inches apart, seam side down, on the sheet, and roll to coat them lightly in oil. Tightly cover the sheet with plastic wrap so the dough doesnâ€™t dry out, and let them rise at room temperature for 2 to 4 more hours, until theyâ€™re pillowy.
Meanwhile, set a baking stone on the center rack of your oven and turn on the broiler. Youâ€™re emulating a 700Â°F wood- burning oven, so you need to give the stone a good long while to preheat before you bake.
When the dough is ready, lightly flour a work surface, and use a bench scraper or thin metal spatula to coax one piece into your palm; be sure you donâ€™t manhandle it or youâ€™ll force out the pockets of air that formed while it rose. Dust a little more flour on the top of the dough and onto your rolling pin.
With firm, even pressure, briskly roll the dough a few times along its length. Flip it upside down, rotate it a quarter- turn, and roll it the same way, keeping it as round as possible. Repeat, dusting a little extra flour as needed, until itâ€™s about 6 inches across.
This next part happens fast and furiously, so make sure you have no distractionsâ€”screaming children and natural disasters will have to wait. Use tongs or a good oven mitt to pull the oven rack with the baking stone partially out. Carefully pick up the pita, drape it over your palm, and slap it down onto the stone as if youâ€™re giving it a high- five (just be careful not to touch the hot stone!). Set a timer for 1 minute, and close the oven. Broilers vary in strength but all are quite hot, so donâ€™t turn your back on the oven or the pita may burn. Check on itâ€” it should puff up and build in color, with some beautiful blistered spots. If itâ€™s still pale, close the oven and let it keep baking for 30- second intervals.
Use tongs to flip the pita, and let it finish baking with the oven door cracked so you can watch it finish. Pull it out when the second side is as pretty as the first; this can take anywhere from 30 seconds to 2 minutes, depending on your broiler.
Bake off the rest of the dough this way; as you get the hang of it, feel free to bake two pitas at a time. Serve these hot or at room temperature.",fresh-homemade-pita-alon-shaya,"['1Â½ cups warm water', '1 teaspoon instant yeast', '4Â½ cups (540 grams) bread flour, divided, plus more as needed', '2 tablespoons canola oil, plus more for your bowl', '3Â½ teaspoons Morton kosher salt']"
47,Veselka's Famous Borscht,"['3 pounds (10 to 12) small beets, scrubbed thoroughly but not peeled', '9 tablespoons white vinegar', 'One 2-pound boneless pork butt, halved', '8 cups beef, chicken, or vegetable stock', '1 bay leaf', '1 teaspoon whole allspice berries', '1 tablespoon whole black peppercorns', '3 large carrots, peeled and sliced', '3 large celery stalks, sliced', '1 small head of green cabbage (about Â¾ to 1 pound), shredded (about 4 cups)', '2 medium Idaho potatoes, peeled and cut into Â½-inch dice', 'One 15-ounce can lima beans, drained and rinsed', 'Salt']","To make the â€œbeet water,â€ roughly chop 2 pounds of the beets (select the smaller ones), preferably in a food processor fitted with the metal blade. Place the chopped beets in a large stockpot. Add 10 cups of water and 1 tablespoon vinegar.
Place the stockpot over high heat and bring to a boil, then reduce the heat to low, and simmer for 2 hours. (If it seems like the liquid is evaporating too quickly, you may need to cover the pot partially with an offset lid.) The beets should be extremely soft and the liquid bright red.
Strain the liquid, pressing the cooked beets against the side of the strainer to extract as much liquid as possible. Discard the pulp or reserve. Set aside the beet water. You should have just about 4 cups.
Meanwhile, place the remaining 1 pound of whole beets in a separate large stockpot. Add water to cover and bring to a boil. Reduce the heat to low, and simmer until the beets are tender-firm, about 40 minutes. When the beets are cooked, add 1 tablespoon white vinegar and set them aside to cool.
When the whole cooked beets are cool enough to handle, peel them; the skins should slip off easily. Grate the peeled beets on the largest holes of a box grater or in a food processor fitted with the grating blade.
To make the broth, place the pork butt in a large stockpot and add the beef stock. If necessary, add a little more stock or water to cover. Add the bay leaf, allspice berries, and peppercorns. Bring to a boil, reduce the heat to low, and simmer until the meat is tender and beginning to fall apart, about 2 hours. Set the pork aside to cool. When the pork is cool enough to handle, remove it from the pot and cut the meat into Â½-inch cubes. Strain the broth and discard the bay leaf, allspice berries, and peppercorns. Reserve the cubed meat and 4 cups of the broth.
To cook the vegetables, place the carrots and celery in a large stockpot and pour the reserved meat broth over them. Bring to a boil, reduce the heat, and simmer until the carrots and celery are just tender, about 8 minutes. Add the cabbage and potatoes and continue to cook until the potatoes and carrots are easily pierced with a pairing knife but keep their shape, 15 to 20 additional minutes. Add the lima beans and cook for 5 additional minutes, just to meld the flavors. Gradually add the remaining 7 tablespoons white vinegar, tasting between additions and stopping when the flavor is to your liking. Remove the soup from the heat and set aside.
To compose the soup, in a large soup pot combine the â€œbeet waterâ€ and meat broth with the vegetables. Add the cubed pork and the grated beets. Stir to combine and bring to a simmer over low heat. Season to taste with salt and serve immediately.",veselkas-famous-borscht,"['3 pounds (10 to 12) small beets, scrubbed thoroughly but not peeled', '9 tablespoons white vinegar', 'One 2-pound boneless pork butt, halved', '8 cups beef, chicken, or vegetable stock', '1 bay leaf', '1 teaspoon whole allspice berries', '1 tablespoon whole black peppercorns', '3 large carrots, peeled and sliced', '3 large celery stalks, sliced', '1 small head of green cabbage (about Â¾ to 1 pound), shredded (about 4 cups)', '2 medium Idaho potatoes, peeled and cut into Â½-inch dice', 'One 15-ounce can lima beans, drained and rinsed', 'Salt']"
48,Papaya-and-Cubeb-Marinated Snapper With Baked Yam Chips,"['4 5â€“6-oz. skin-on red snapper fillets, patted dry', 'Â¼ tsp. okra salt or kosher salt, plus more', 'Alligator pepper or freshly ground black pepper', 'Â½ tsp. cubeb pepper or Ashanti pepper (uziza)', 'Â½ green or medium-ripe papaya, peeled, insides discarded', '1 small bunch cilantro', '2 Tbsp. extra-virgin olive oil', '1 small red onion, coarsely chopped', '1 garlic clove, coarsely chopped', '1 1"" piece ginger, peeled, coarsely chopped (unpeeled if organic)', 'Â¼â€“Â½ tsp. ground dried bird chiles or other hot chile powder', '1 lemon, halved', '1 lb. puna, white yams, or sweet potatoes (2â€“3)', '1 tsp. coconut sugar or dark brown sugar', '1Â½ tsp. kosher salt, divided', '3 Tbsp. extra-virgin olive oil, divided', 'Freshly ground black pepper', 'Â½ tsp. chile powder', 'Drunk Apricot Shito (for serving)', 'A spice mill or mortar and pestle']","Using a sharp chefâ€™s knife, score skin of each fish fillet in a crosshatch pattern, making cuts about Â½"" apart. Season fillets on both sides with salt and alligator pepper.
Toast cubeb peppers in a dry small skillet over medium-low heat, shaking occasionally, until fragrant, about 3 minutes. Transfer to a spice mill or mortar and pestle. Let cool and coarsely grind; set aside. Coarsely chop half of papaya into 1"" pieces; set remaining half aside. Coarsely chop half of cilantro (leaves and stems); set remaining cilantro aside.
Transfer chopped papaya to a blender; add oil and blend, adding 1â€“2 Tbsp. water to get it going if needed, until smooth. Add chopped cilantro, onion, garlic, ginger, ground chile, Â¼ tsp. salt, and reserved ground cubeb pepper. Blend mixture to a smooth paste.
Coat fillets all over with marinade, rubbing into score marks. Place fish, skin side down, in a single layer in a large baking dish. Squeeze juice from half a lemon over. Set remaining lemon half aside for serving. Cover with plastic wrap or a lid and chill at least 2 hours and up to 12 hours.
Fill a large bowl with water. Peel yams and slice in half lengthwise, then slice in half crosswise. Cut each quarter into Â½""-thick slabs. (Length of slabs will depend on yamâ€™s size, but youâ€™re going for something that looks like steak fries.) Add yam slices to bowl as you work to prevent oxidation. When all yams are cut, swish in water to remove excess starch, then drain. Refill bowl and repeat process until water is clear, about 2 more times. Add sugar and Â½ tsp. salt and stir until dissolved; add the drained chips. (Yams, like many foods that are good for you, can be quite bitter; the sugar will help counter this.) Let soak 30 minutes.
Place a rack in middle of oven; preheat to 450Â°. Drain chips and pat dry with a clean kitchen towel. Transfer to a rimmed baking sheet and drizzle with 2 Tbsp. oil. Season with black pepper, then sprinkle with chili powder and remaining 1 tsp. salt. Toss to coat, then spread out into an even layer. Roast chips, turning halfway through, until golden brown and crisp, about 20 minutes.
Heat broiler. Scrape off excess marinade from fish and place fillets, skin side up, on another rimmed baking sheet. Broil until browned and crisp on top and cooked through, 5â€“7 minutes.
Using a vegetable peeler, shave reserved papaya into ribbons, pick leaves from reserved cilantro stems, and cut reserved lemon half into wedges.
Transfer fish to plates and top with papaya and cilantro. Mound yam chips next to fillets. Serve with shito and lemon wedges alongside.",ghanian-snapper-with-baked-yam-chips,"['4 5â€“6-oz. skin-on red snapper fillets, patted dry', 'Â¼ tsp. okra salt or kosher salt, plus more', 'Alligator pepper or freshly ground black pepper', 'Â½ tsp. cubeb pepper or Ashanti pepper (uziza)', 'Â½ green or medium-ripe papaya, peeled, insides discarded', '1 small bunch cilantro', '2 Tbsp. extra-virgin olive oil', '1 small red onion, coarsely chopped', '1 garlic clove, coarsely chopped', '1 1"" piece ginger, peeled, coarsely chopped (unpeeled if organic)', 'Â¼â€“Â½ tsp. ground dried bird chiles or other hot chile powder', '1 lemon, halved', '1 lb. puna, white yams, or sweet potatoes (2â€“3)', '1 tsp. coconut sugar or dark brown sugar', '1Â½ tsp. kosher salt, divided', '3 Tbsp. extra-virgin olive oil, divided', 'Freshly ground black pepper', 'Â½ tsp. chile powder', 'Drunk Apricot Shito (for serving)', 'A spice mill or mortar and pestle']"
49,Drunk Apricot Shito (Ghanaian Hot Pepper Sauce),"['4 oz. dried apricots', 'Â¼ cup dark rum or arrack', '1 Tbsp. unsalted butter', 'Â¼ tsp. ground cinnamon', '3 Tbsp. plus 1 tsp. coconut sugar or dark brown sugar', '2 grains of selim pods', 'Â½ tsp. cubeb pepper or Ashanti pepper (uziza)', 'Â½ cup peanut oil or vegetable oil', '1 medium white onion, finely chopped', '1 small red onion, thinly sliced', '2 garlic cloves, coarsely chopped', '1 1"" piece ginger, peeled, finely grated (unpeeled if organic)', '1 Tbsp. crushed red pepper flakes', '1 tsp. chopped rosemary', '1 tsp. chopped thyme', 'Â¾ tsp. dried prawn or shrimp powder', '1 tsp. okra salt or kosher salt, plus more', '2 Tbsp. tomato purÃ©e', '3â€“4 Tbsp. dried chile powder', 'â…” cups low-sodium chicken broth', '1 Scotch bonnet or habanero chile, pierced a few times with a knife', 'A spice mill or mortar and pestle']","Place apricots in a small bowl and pour in hot water to cover. Let sit 20 minutes, then drain and coarsely chop. Return apricots to same bowl and add rum; stir to coat. Chill at least 30 minutes and up to 1 day. Drain into a mesh sieve set over another small bowl or container. Reserve apricots and rum separately.
Melt butter in a medium saucepan over medium heat. Add cinnamon, 3 Tbsp. coconut sugar, and reserved apricots. Cook, stirring occasionally, until apricots are slightly softened and coated in caramel, 6â€“8 minutes. Add reserved rum and cook, stirring often, until thickened and syrupy, about 5 minutes. Let cool slightly. (Just FYI: You can eat these drunk apricots right away over vanilla ice cream and be very happy.)
Toast grains of selim pods and cubeb peppers in a small skillet over medium-low heat, shaking occasionally, until fragrant, about 3 minutes. Transfer to a spice mill or mortar and pestle and let cool. Grind as well as you can. The grains of selim wonâ€™t completely break up, so cracked open but mostly whole is okayâ€”you just want to release some of their flavor.
Heat oil in a large Dutch oven or other heavy pot over medium. Cook white and red onions, stirring occasionally, until softened and just starting brown, 20â€“25 minutes. Stir in ground grains of selim and cubeb pepper, garlic, ginger, and remaining 1 tsp. coconut sugar. Cook, stirring occasionally, 5 minutes. Add red pepper flakes, rosemary, thyme, prawn powder, and 1 tsp. salt to pot and cook, stirring occasionally, about 2 minutes. Add drunk apricots along with any syrup and cook, stirring often, about 2 minutes.
Add tomato purÃ©e to pot and cook, stirring occasionally, 4 minutes, then stir in chile powder. Add broth and fresh chile. Cover pot and cook, stirring occasionally to prevent sticking, until a loose dark brown paste forms, 30â€“40 minutes. The oil will rise to the surface when the sauce is ready. Remove from heat; taste and season with more salt if needed. If you like texture, leave as is, or blend with an immersion blender (or let it cool slightly and blend it in a blender) to make it smooth. Let cool completely.
Spoon shito into jars or an airtight container with at least a Â¼"" layer of oil on top.
Do ahead: Shito can made 1 week ahead. Cover and chill.
Note: The amount of chile described in this recipe is what I would classify as pretty hotâ€”some West Africans might call this medium hot, some very hot. Folks familiar with heat will enjoy this, but if you donâ€™t like super-jacked heat you should probably err on the lower end of the range. West African pantry staples can be found at Zoe's Ghana Kitchen.",drunk-apricot-shito-ghanaian-hot-pepper-sauce,"['4 oz. dried apricots', 'Â¼ cup dark rum or arrack', '1 Tbsp. unsalted butter', 'Â¼ tsp. ground cinnamon', '3 Tbsp. plus 1 tsp. coconut sugar or dark brown sugar', '2 grains of selim pods', 'Â½ tsp. cubeb pepper or Ashanti pepper (uziza)', 'Â½ cup peanut oil or vegetable oil', '1 medium white onion, finely chopped', '1 small red onion, thinly sliced', '2 garlic cloves, coarsely chopped', '1 1"" piece ginger, peeled, finely grated (unpeeled if organic)', '1 Tbsp. crushed red pepper flakes', '1 tsp. chopped rosemary', '1 tsp. chopped thyme', 'Â¾ tsp. dried prawn or shrimp powder', '1 tsp. okra salt or kosher salt, plus more', '2 Tbsp. tomato purÃ©e', '3â€“4 Tbsp. dried chile powder', 'â…” cups low-sodium chicken broth', '1 Scotch bonnet or habanero chile, pierced a few times with a knife', 'A spice mill or mortar and pestle']"
50,Summer Bean Soup With Tomato Brown Butter,"['8 oz. (230 g) dried beans, such as flageolet or navy, or fresh shelling beans', '2 in. square dried kombu', '2 large tomatoes', '2 celery ribs', '1 carrot', '1 leek, white and light green parts only', '6 shallots, skins intact', '6 garlic cloves, minced', '4 oil-packed anchovy fillets', '6 Tbsp. (90 ml) extra-virgin olive oil', '2 Tbsp. maple syrup', '1 Â½ Tbsp. kosher salt', '1 Tbsp. red pepper flakes', '1 tsp. whole-grain mustard', '8 oz. (230 g) bacon', '8 oz. (230 g) Romano beans or green beans, chopped into 1 in. pieces', '2 shallots, thinly sliced', '1 tsp. red pepper flakes', 'Zest and juice of 1 lemon', '1 garlic clove, grated', '12 pickled green beans (see Basic Wet Salt Method, below)', '9 cherry tomatoes, quartered', '2 tsp. extra-virgin olive oil', '1 tsp. sherry vinegar', 'Tomato Brown Butter', 'Crumbled feta, parsley leaves, and marjoram leaves for garnish']","Combine the dried beans and kombu in a large container and cover with plenty of water to soak for at least 4 hours or overnight; skip this step if using fresh beans.
Drain the beans and kombu and add them to a large pot with enough water to cover by about 1 in. (if using fresh beans, add the kombu now). Bring to a boil over medium-high heat; meanwhile, halve the tomatoes and cut the celery, carrot, and leek into about 3 in. pieces. As soon as the water boils, decrease the heat to medium-low and add the vegetables to the pot, along with the whole shallots and minced garlic. Continue to cook at a gentle simmer until the beans are very creamy, 60 to 90 minutes for dried beans and about half that for fresh.
Remove the pot from the heat and use a slotted spoon to reserve the tomatoes; remove and discard the other vegetables.
Set up a sieve over a heat proof container and strain the beans (there should be about 3 cups or 480 g), reserving all the cooking liquid.
In a blender, combine 1 cup (160 g) of the cooked beans with 2 cups (480 ml) of the cooking liquid, plus the tomatoes, anchovies, oil, maple syrup, salt, red pepper flakes, and mustard. PurÃ©e until extremely smooth, pour into a large bowl, and fold in the reserved cooked beans by hand. At this point, you can serve it right away or transfer to an airtight container and refrigerate for up to 3 days, gently rewarming over medium-low heat when youâ€™re ready to serve.
While the bean soup is cooking, preheat the oven to 325Â°F. Cut the bacon into Â¼ in. lardons; reserve 3 whole beans for garnish and cut the rest into 2 to 3 in. pieces.
In a medium saucepan or Dutch oven, spread the bacon in an even layer and cook over medium-low heat until it starts to turn golden and crisp, about 10 minutes. Use a slotted spoon to remove the pieces but leave the fat behind.
Increase the heat slightly, and sautÃ© the shallots until translucent, 5 to 10 minutes. Stir in the chopped beans, bacon, and red pepper flakes. Cover with a lid or a tight layer of foil and bake until the beans are very soft, 60 to 90 minutes. Stir in the lemon zest, juice, and garlic as soon as the beans come out of the oven and cover again; the residual steam will cook the garlic.
Thinly slice the pickled green beans on the bias. Combine with the cherry tomatoes, oil, and vinegar.
To serve, ladle the bean soup into bowls with a big spoonful of the baked beans on top. Garnish with the pickled green bean mix, a swirl of tomato brown butter, crumbled feta, and torn fresh herbs. Leftovers can all be refrigerated in separate airtight containers, though the green bean salad is best on the day itâ€™s made, when the beans are most crisp and the tomatoes are fresh.
This works for any amount of dense vegetables or dense, underripe fruit, either whole or cut up, such as carrots, turnips, beets, winter squash, onions, green beans, Brussels sprouts, green tomatoes, small apples, underripe peaches, and whole baby cabbages. Peel off any tough skins, such as on beets, winter squash, and onions, and trim the tops. Leave the vegetables whole or cut them into the desired finished shape. Place the vegetables in a nonreactive container and pour water to completely submerge them; as you do so, keep track of how much water youâ€™re adding since the amount of water will dictate the amount of salt (generally 3.5 percent salt by weight of the water for most vegetables, although cucumbers can handle 4 to 5 percent and the increased salt assists with keeping their texture crispy). With a long wooden spoon, stir kosher salt into the brine (or add the salt, cap the jar, and give it a hearty shake) until the salt is dissolved. Place a weight on top of the vegetables to keep them submerged in the brine. Seal the container, using a lid with an airlock if you have one. If you donâ€™t have an airlock, youâ€™ll just need to open the container every few days or so to release carbon dioxide buildup and check for mold. Place the container in a clean, low-light area with an ambient temperature of 60Â°F to 68Â°F until the pickles taste sour, about 3 weeks. Refrigerate indefinitely.",summer-bean-soup-with-tomato-brown-butter-cortney-burns,"['8 oz. (230 g) dried beans, such as flageolet or navy, or fresh shelling beans', '2 in. square dried kombu', '2 large tomatoes', '2 celery ribs', '1 carrot', '1 leek, white and light green parts only', '6 shallots, skins intact', '6 garlic cloves, minced', '4 oil-packed anchovy fillets', '6 Tbsp. (90 ml) extra-virgin olive oil', '2 Tbsp. maple syrup', '1 Â½ Tbsp. kosher salt', '1 Tbsp. red pepper flakes', '1 tsp. whole-grain mustard', '8 oz. (230 g) bacon', '8 oz. (230 g) Romano beans or green beans, chopped into 1 in. pieces', '2 shallots, thinly sliced', '1 tsp. red pepper flakes', 'Zest and juice of 1 lemon', '1 garlic clove, grated', '12 pickled green beans (see Basic Wet Salt Method, below)', '9 cherry tomatoes, quartered', '2 tsp. extra-virgin olive oil', '1 tsp. sherry vinegar', 'Tomato Brown Butter', 'Crumbled feta', 'parsley leaves', 'and marjoram leaves for garnish']"
51,Tomato Brown Butter,"['1 large tomato (about 8 oz. or 230 g)', 'Â½ cup (120 g) unsalted butter', 'Kosher salt', 'Freshly ground black pepper']","Place the tomato in a blender and purÃ©e, then strain through a fine-mesh sieve; you should get about Â½ cup (120 ml). Add the butter to a large skillet and gently cook over medium heat until it starts to brown and smell nutty. Stir in the smooth tomato purÃ©e (be careful; it might spatter) and simmer for another minute or so. Youâ€™re looking to slightly cook the purÃ©e but keep its brightness. The mix wonâ€™t emulsify, which is fine. Season with salt and pepper and set aside.",tomato-brown-butter-cortney-burns,"['1 large tomato (about 8 oz. or 230 g)', 'Â½ cup (120 g) unsalted butter', 'Kosher salt', 'Freshly ground black pepper']"
52,Maple-Roasted Acorn Squash,"['3 acorn squash, unpeeled, halved through the stem, and seeded', '3 tablespoons unsalted butter, diced', '3 tablespoons pure maple syrup, plus extra for serving', 'Good olive oil', 'Kosher salt and freshly ground black pepper', 'Flaked sea salt, such as Maldon, for serving']","Preheat the oven to 350Â°F.
Place the squash, cut sides up, on a sheet pan. Place Â½ tablespoon butter and Â½ tablespoon maple syrup in the cavity of each squash. Brush the cut sides with olive oil and sprinkle the squash with 3 teaspoons kosher salt and 1 teaspoon pepper. Roast for 40 to 60 minutes, depending on the size of the squash, until tender when pierced with a small knife.
Place the squash on a serving platter. If the halves are too large for one serving, cut each piece in half through the stem. Drizzle lightly with extra maple syrup, sprinkle with sea salt, and serve hot.
Acorn squash is hard to cut. To halve a whole squash, plunge the blade of a large chefâ€™s knife into the side of the squash as far as it will go. Holding the handle of the knife, bang the squash (with the knife in it) on the board until the blade cuts all the way through.",maple-roasted-acorn-squash-ina-garten,"['3 acorn squash, unpeeled, halved through the stem, and seeded', '3 tablespoons unsalted butter, diced', '3 tablespoons pure maple syrup, plus extra for serving', 'Good olive oil', 'Kosher salt and freshly ground black pepper', 'Flaked sea salt', 'such as Maldon', 'for serving']"
53,Coconut-Creamed Corn and Grains,"['2 Tbsp. extra-virgin olive oil', '1 serrano chile or jalapeÃ±o, thinly sliced', '1 (3"") piece fresh ginger, peeled, cut into matchsticks', '4 garlic cloves, thinly sliced', '2 scallions, thinly sliced, plus more for serving', 'Â½ tsp. ground turmeric', '4 ears of corn, shucked, kernels removed', '1 cup cooked grains (such as freekeh, farro, or quinoa)', '1 cup unsweetened coconut milk, plus more for serving', 'Kosher salt', '4 Tbsp. store-bought crispy onions or shallots (such as Lars Own, Frenchâ€™s, or Maesri)', 'Lime wedges (for serving)']","Heat oil in a large nonstick skillet over medium. Cook chile, ginger, garlic, and 2 sliced scallions, tossing, until softened and fragrant, about 3 minutes. Add turmeric and cook, stirring frequently, just until darkened and fragrant, about 30 seconds. Add corn and increase heat to medium-high. Cook, tossing occasionally, until corn is beginning to lightly brown, about 5 minutes.
Add grains to skillet and cook, tossing often, until heated through and beginning to crisp around the edges, about 2 minutes. Add Â½ cup coconut milk; season with salt. Bring to a simmer and cook, adding 1â€“2 Tbsp. water if needed to loosen, until flavors have come together, about 3 minutes.
Divide corn mixture between plates or shallow bowls and drizzle with more coconut milk. Top with crispy onions and more scallion. Serve with lime wedges for squeezing over.",coconut-creamed-corn-and-grains,"['2 Tbsp. extra-virgin olive oil', '1 serrano chile or jalapeÃ±o, thinly sliced', '1 (3"") piece fresh ginger, peeled, cut into matchsticks', '4 garlic cloves, thinly sliced', '2 scallions, thinly sliced, plus more for serving', 'Â½ tsp. ground turmeric', '4 ears of corn, shucked, kernels removed', '1 cup cooked grains (such as freekeh, farro, or quinoa)', '1 cup unsweetened coconut milk, plus more for serving', 'Kosher salt', '4 Tbsp. store-bought crispy onions or shallots (such as Lars Own, Frenchâ€™s, or Maesri)', 'Lime wedges (for serving)']"
